ExpenseYear,LobbyingSubject1,RegistrationNum,RegistrationName
2014,Labor,P00204,AFSCME District Council 47
2014,Budget & Finance,P00205,Public Citizens for Children and Youth
2014,Children,P00205,Public Citizens for Children and Youth
2014,Education,P00205,Public Citizens for Children and Youth
2014,Real Estate,P00207,The City of Philadelphia
2014,Utilities,P00207,The City of Philadelphia
2014,Economic Development,P00209,"Arsenal Associates, a Pennsylvania Limited Partnership "
2014,Environment,P00209,"Arsenal Associates, a Pennsylvania Limited Partnership "
2014,Real Estate,P00209,"Arsenal Associates, a Pennsylvania Limited Partnership "
2014,Transportation,P00216,Lyft
2014,Accessibility,P00218,Verizon PA
2014,Accessibility,P00219,Verizon Wireless
2014,"Education, Higher",P00230,Temple University
2014,Education,P00231,Pennsylvania Working Families Organization
2014,Elections,P00231,Pennsylvania Working Families Organization
2014,Public Employees,P00231,Pennsylvania Working Families Organization
